id_ciudad_origen,id_ciudad_destino,capacidad,costo
BBOD,FACATATIVA,8.5,650000.0
BBOD,FACATATIVA,17.0,1400000.0
BBOD,FACATATIVA,34.0,2140000.0
BBOD,FUNZA,1.0,80584.0
BBOD,FUSAGASUGA,4.5,501714.0
BBOD,GACHANCIPA,4.5,362628.0
BBOD,GALAPA,4.5,1930000.0
BBOD,GALAPA,8.5,2270000.0
BBOD,GALAPA,17.0,3200000.0
BBOD,GALAPA,34.0,5025000.0
BBOD,GIRON,4.5,1160000.0
BBOD,GIRON,8.5,1640000.0
BBOD,GIRON,17.0,3075000.0
BBOD,GIRON,34.0,4365000.0
BBOD,GUAJIRA,4.5,1930000.0
BBOD,GUAJIRA,8.5,2270000.0
BBOD,GUAJIRA,17.0,3200000.0
BBOD,GUAJIRA,34.0,5025000.0
BBOD,IBAGUE,4.5,950000.0
BBOD,IBAGUE,8.5,1135000.0
BBOD,IBAGUE,17.0,2270000.0
BBOD,IBAGUE,34.0,3200000.0
BBOD,JAMUNDI,4.5,1135000.0
BBOD,JAMUNDI,8.5,1540000.0
BBOD,JAMUNDI,17.0,2840000.0
BBOD,JAMUNDI,34.0,4265000.0
BBOD,LA CEJA,4.5,1160000.0
BBOD,LA CEJA,8.5,1580000.0
BBOD,LA CEJA,17.0,2950000.0
BBOD,LA CEJA,34.0,4365000.0
BBOD,LOS PATIOS,4.5,1880000.0
BBOD,LOS PATIOS,8.5,2250000.0
BBOD,LOS PATIOS,17.0,3150000.0
BBOD,LOS PATIOS,34.0,4880000.0
BBOD,MADRID,4.5,80584.0
BBOD,MAGANGUE,4.5,1950000.0
BBOD,MAGANGUE,8.5,2320000.0
BBOD,MAGANGUE,17.0,3300000.0
BBOD,MAGANGUE,34.0,5110000.0
BBOD,MANIZALES,4.5,1135000.0
BBOD,MANIZALES,8.5,1540000.0
BBOD,MANIZALES,17.0,2800000.0
BBOD,MANIZALES,34.0,4220000.0
BBOD,MEDELLIN,4.5,1160000.0
BBOD,MEDELLIN,8.5,1580000.0
BBOD,MEDELLIN,17.0,2950000.0
BBOD,MEDELLIN,34.0,4365000.0
BBOD,MEDELLIN/FUE/PERIM/URB,4.5,1160000.0
BBOD,MEDELLIN/FUE/PERIM/URB,8.5,1580000.0
BBOD,MEDELLIN/FUE/PERIM/URB,17.0,2950000.0
BBOD,MEDELLIN/FUE/PERIM/URB,34.0,4365000.0
BBOD,MONTERIA-SINCELEJO,4.5,1950000.0
BBOD,MONTERIA-SINCELEJO,8.5,2320000.0
BBOD,MONTERIA-SINCELEJO,17.0,3300000.0
BBOD,MONTERIA-SINCELEJO,34.0,5110000.0
BBOD,MOSQUERA,4.5,80584.0
BBOD,NEIVA,4.5,1125000.0
BBOD,NEIVA,8.5,1560000.0
BBOD,NEIVA,17.0,2840000.0
BBOD,NEIVA,34.0,4230000.0
BBOD,PASTO,4.5,1800000.0
BBOD,PASTO,8.5,2000000.0
BBOD,PASTO,17.0,3000000.0
BBOD,PASTO,34.0,4400000.0
BBOD,PEREIRA,4.5,1135000.0
BBOD,PEREIRA,8.5,1540000.0
BBOD,PEREIRA,17.0,2800000.0
BBOD,PEREIRA,34.0,4220000.0
BBOD,PIEDECUESTA,4.5,1160000.0
BBOD,PIEDECUESTA,8.5,1640000.0
BBOD,PIEDECUESTA,17.0,3075000.0
BBOD,PIEDECUESTA,34.0,4365000.0
BBOD,POPAYAN,4.5,1990000.0
BBOD,POPAYAN,8.5,2260000.0
BBOD,POPAYAN,17.0,3920000.0
BBOD,POPAYAN,34.0,5655000.0
BBOD,RIONEGRO,4.5,1160000.0
BBOD,RIONEGRO,8.5,1580000.0
BBOD,RIONEGRO,17.0,2950000.0
BBOD,RIONEGRO,34.0,4365000.0
BBOD,SANTANDER DE QUILICHAO,4.5,1135000.0
BBOD,SANTANDER DE QUILICHAO,8.5,1540000.0
BBOD,SANTANDER DE QUILICHAO,17.0,2840000.0
BBOD,SANTANDER DE QUILICHAO,34.0,4265000.0
BBOD,SANTANDER QUILICHAO,4.5,1970000.0
BBOD,SANTANDER QUILICHAO,8.5,2230000.0
BBOD,SANTANDER QUILICHAO,17.0,3860000.0
BBOD,SIBATE,1.0,80584.0
BBOD,SIBERIA,1.0,80584.0
BBOD,SOACHA,1.0,80584.0
BBOD,SOLEDAD,4.5,1930000.0
BBOD,SOLEDAD,8.5,2270000.0
BBOD,SOLEDAD,17.0,3200000.0
BBOD,SOLEDAD,34.0,5025000.0
BBOD,TABIO,4.5,80584.0
BBOD,TENJO,4.5,362628.0
BBOD,TOCANCIPA,4.5,80584.0
BBOD,TURBACO,4.5,1930000.0
BBOD,TURBACO,8.5,2270000.0
BBOD,TURBACO,17.0,3200000.0
BBOD,TURBACO,34.0,5025000.0
BBOD,TURBO,4.5,1990000.0
BBOD,TURBO,8.5,2365000.0
BBOD,TURBO,17.0,3520000.0
BBOD,TURBO,34.0,4900000.0
BBOD,TURBO-ANTIOQUIA,4.5,1990000.0
BBOD,TURBO-ANTIOQUIA,8.5,2365000.0
BBOD,TURBO-ANTIOQUIA,17.0,3520000.0
BBOD,TURBO-ANTIOQUIA,34.0,4900000.0
BBOD,VILLA DEL ROSARIO,4.5,1880000.0
BBOD,VILLA DEL ROSARIO,8.5,2250000.0
BBOD,VILLA DEL ROSARIO,17.0,3150000.0
BBOD,VILLA DEL ROSARIO,34.0,4880000.0
BBOD,VILLA RICA,4.5,1990000.0
BBOD,VILLA RICA,8.5,2260000.0
BBOD,VILLA RICA,17.0,3920000.0
BBOD,VILLA RICA,34.0,5655000.0
BBOD,VILLAVICENCIO,4.5,875000.0
BBOD,VILLAVICENCIO,8.5,1125000.0
BBOD,VILLAVICENCIO,17.0,2500000.0
BBOD,VILLAVICENCIO,34.0,3130000.0
BBOD,YOPAL,1.0,64488.0
BBOD,ZF DEL PACIFICO,4.5,1135000.0
BBOD,ZF DEL PACIFICO,8.5,1540000.0
BBOD,ZF DEL PACIFICO,17.0,2840000.0
BBOD,ZF DEL PACIFICO,34.0,4265000.0
BBOD,ZIPAQUIRA,4.5,80584.0
BBOD,ZONA FRANCA RIONEGRO ANTIOQUIA,4.5,1160000.0
BBOD,ZONA FRANCA RIONEGRO ANTIOQUIA,8.5,1580000.0
BBOD,ZONA FRANCA RIONEGRO ANTIOQUIA,17.0,2950000.0
BBOD,ZONA FRANCA RIONEGRO ANTIOQUIA,34.0,4365000.0
BUEN_PORT,ABOD,4.5,1085000.0
BUEN_PORT,ABOD,8.5,1495000.0
BUEN_PORT,ABOD,17.0,3400000.0
BUEN_PORT,ABOD,34.0,4390000.0
BUEN_PORT,BBOD,4.5,1085000.0
BUEN_PORT,BBOD,8.5,1495000.0
BUEN_PORT,BBOD,17.0,3180000.0
BUEN_PORT,BBOD,34.0,4390000.0
BUEN_PORT,BOGOTA,4.5,1085000.0
BUEN_PORT,BOGOTA,8.5,1495000.0
BUEN_PORT,BOGOTA,17.0,3180000.0
BUEN_PORT,BOGOTA,34.0,4390000.0
BUEN_PORT,CALI,1.0,64488.0
BUEN_PORT,CARTAGENA,4.5,2425000.0
BUEN_PORT,CARTAGENA,8.5,2990000.0
BUEN_PORT,CARTAGENA,17.0,4750000.0
BUEN_PORT,CARTAGENA,34.0,6190000.0
BUEN_PORT,CBOD,1.0,64488.0
BUEN_PORT,CGNA_CEDI,4.5,2425000.0
BUEN_PORT,CGNA_CEDI,8.5,2990000.0
BUEN_PORT,CGNA_CEDI,17.0,4750000.0
BUEN_PORT,CGNA_CEDI,34.0,6190000.0
BUEN_PORT,CGNA_PLANT,4.5,2425000.0
BUEN_PORT,CGNA_PLANT,8.5,2990000.0
BUEN_PORT,CGNA_PLANT,17.0,4750000.0
BUEN_PORT,CGNA_PLANT,34.0,6190000.0
BUEN_PORT,MEDELLIN,4.5,1085000.0
BUEN_PORT,MEDELLIN,8.5,1495000.0
BUEN_PORT,MEDELLIN,17.0,3400000.0
