,tiempo,producto,transporte,origen,destino,costo,valor_decision
167,1,ANTIFIBRILANTES,999.0,CGNA_PLANT,CGNA_PORT,1.0,0.0
168,1,ANTIFIBRILANTES,1.0,CGNA_PLANT,ABOD,153600.0,0.0
169,1,ANTIFIBRILANTES,1.0,CGNA_PLANT,CBOD,173000.0,0.0
170,1,ANTIFIBRILANTES,1.0,CGNA_PLANT,BBOD,166400.0,0.0
171,1,ANTIFIBRILANTES,1.0,CGNA_PORT,CGNA_PLANT,64488.0,0.0
172,1,ANTIFIBRILANTES,999.0,MB_PLANT,CGNA_PORT,1.0,0.2422922922922923
173,1,ANTIFIBRILANTES,1.0,MB_PLANT,ABOD,153600.0,71.22500000000001
174,1,ANTIFIBRILANTES,1.0,MB_PLANT,CBOD,173000.0,0.225
175,1,ANTIFIBRILANTES,1.0,MB_PLANT,BBOD,166400.0,9.5
176,1,ANTIFIBRILANTES,1.0,CGNA_PLANT,BARRANQUILLA,80000.0,0.0
177,1,ANTIFIBRILANTES,1.0,CGNA_PLANT,BOGOTA,166400.0,0.0
178,1,ANTIFIBRILANTES,1.0,CGNA_PLANT,CALI,173000.0,0.0
179,1,ANTIFIBRILANTES,1.0,CGNA_PLANT,CARTAGENA,1000.0,0.0
180,1,ANTIFIBRILANTES,1.0,CGNA_PLANT,MEDELLIN,153600.0,0.0
181,1,ANTIFIBRILANTES,1.0,CGNA_PLANT,RIONEGRO,153600.0,0.0
182,1,ANTIFIBRILANTES,4.5,ABOD,BARRANQUILLA,1580000.0,0.0
183,1,ANTIFIBRILANTES,8.5,ABOD,BARRANQUILLA,2190000.0,0.0
184,1,ANTIFIBRILANTES,17.0,ABOD,BARRANQUILLA,2310000.0,0.0
185,1,ANTIFIBRILANTES,34.0,ABOD,BARRANQUILLA,3400000.0,0.0
186,1,ANTIFIBRILANTES,4.5,ABOD,BOGOTA,1135000.0,0.0
187,1,ANTIFIBRILANTES,8.5,ABOD,BOGOTA,1580000.0,0.0
